"Ensembl_ID","Gene_Symbol","ENTREZID","logFC","t","adj.P.Val"
"ENSG00000204262","COL5A2","1290",0.484252615768563,15.6278848754545,6.20329673658089e-47
"ENSG00000241684","ADAMTS9-AS2","100507098",0.522979783873004,15.6170601614234,7.02185080012086e-47
"ENSG00000078549","ADCYAP1R1","117",0.409389966401414,15.6120372082835,7.4075946604777e-47
"ENSG00000092607","TBX15","6913",0.353272210871051,15.5575549602238,1.4242920834467e-46
"ENSG00000179388","EGR3","1960",0.760799495366975,15.5494352288832,1.55999176995586e-46
"ENSG00000189129","PLAC9","219348",0.572432403747861,15.544926812494,1.63549698347065e-46
"ENSG00000271447","MMP28","79148",0.436733378915516,15.4959556914684,2.93773806935135e-46
"ENSG00000167178","ISLR2","57611",0.464152549561631,15.4855951556533,3.30586348799797e-46
"ENSG00000255399","TBX5-AS1","255480",0.314207811158809,15.4800403900289,3.51013360405616e-46
"ENSG00000163751","CPA3","1359",0.567921696446421,15.404929642368,8.6325429785614e-46
"ENSG00000111665","CDCA3","83461",-0.576748528895055,-15.3998754631281,9.1099739194042e-46
"ENSG00000133392","MYH11","4629",0.484459766579843,15.3856026445482,1.07441196937427e-45
"ENSG00000122870","BICC1","80114",0.456392251100905,15.3756009184588,1.20354604522126e-45
"ENSG00000013297","CLDN11","5010",0.53740620974855,15.3663501001034,1.33607102443462e-45
"ENSG00000169515","CCDC8","83987",0.501101817702766,15.3479332412623,1.65622439416074e-45
"ENSG00000139329","LUM","4060",0.365701234989233,15.3446349438106,1.711485364919e-45
"ENSG00000180139","ACTA2-AS1","100132116",0.475451770725118,15.340357294563,1.78962977738515e-45
"ENSG00000138722","MMRN1","22915",0.706848187201059,15.3133326083606,2.46017928081106e-45
"ENSG00000130635","COL5A1","1289",0.485909571020318,15.3079235868901,2.59949299702e-45
"ENSG00000149380","P4HA3","283208",0.489801695707806,15.3076329164473,2.59949299702e-45
"ENSG00000108001","EBF3","253738",0.437143559671712,15.2891733692418,3.22341691246594e-45
"ENSG00000167244","IGF2","3481",0.545142381270242,15.2660621861434,4.22612499748231e-45
"ENSG00000162745","OLFML2B","25903",0.396920742945128,15.2350459469372,6.09033438563246e-45
"ENSG00000183044","ABAT","18",0.826700696584738,15.2011490805832,9.08138686783576e-45
"ENSG00000165072","MAMDC2","256691",0.51261011545257,15.1754460032669,1.22718116088995e-44
"ENSG00000131831","RAI2","10742",0.573195806367303,15.1705379307586,1.29302356455973e-44
"ENSG00000197083","ZNF300P1",NA,0.46911824965122,15.1687443883818,1.3126387102214e-44
"ENSG00000156427","FGF18","8817",0.519564677271832,15.0660519385494,4.44255314241561e-44
"ENSG00000277494","GPIHBP1","338328",0.507834699490435,15.0577513823824,4.87331379735413e-44
"ENSG00000106483","SFRP4","6424",0.505819460197755,15.0534701804626,5.09611633104954e-44
"ENSG00000128591","FLNC","2318",0.42290215225818,15.0500844521576,5.27276352976964e-44
