"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","1/68","30/1876",0.0333333333333333,0.919607843137255,-0.086062575570923,0.672554270369626,0.885538359713869,0.881564095349588,"107",1
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","1/68","30/1876",0.0333333333333333,0.919607843137255,-0.086062575570923,0.672554270369626,0.885538359713869,0.881564095349588,"1908",1
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","2/68","63/1876",0.0317460317460317,0.875816993464052,-0.194396938974949,0.675879863512704,0.885538359713869,0.881564095349588,"107/2264",2
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","1/68","31/1876",0.032258064516129,0.889943074003795,-0.119799752089174,0.684616193237917,0.885538359713869,0.881564095349588,"107",1
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","2/68","65/1876",0.0307692307692308,0.848868778280543,-0.240440446400462,0.692719497580508,0.885538359713869,0.881564095349588,"107/1524",2
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","1/68","33/1876",0.0303030303030303,0.836007130124777,-0.1842787033466,0.707441653375656,0.885538359713869,0.881564095349588,"107",1
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","1/68","34/1876",0.0294117647058824,0.811418685121107,-0.215153881011608,0.71823599280618,0.885538359713869,0.881564095349588,"107",1
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","1/68","35/1876",0.0285714285714286,0.788235294117647,-0.24519780982658,0.728637704255246,0.885538359713869,0.881564095349588,"107",1
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","1/68","35/1876",0.0285714285714286,0.788235294117647,-0.24519780982658,0.728637704255246,0.885538359713869,0.881564095349588,"107",1
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","1/68","35/1876",0.0285714285714286,0.788235294117647,-0.24519780982658,0.728637704255246,0.885538359713869,0.881564095349588,"107",1
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","1/68","35/1876",0.0285714285714286,0.788235294117647,-0.24519780982658,0.728637704255246,0.885538359713869,0.881564095349588,"107",1
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","1/68","35/1876",0.0285714285714286,0.788235294117647,-0.24519780982658,0.728637704255246,0.885538359713869,0.881564095349588,"658",1
"Human Diseases","Substance dependence","hsa05034","Alcoholism","1/68","37/1876",0.027027027027027,0.745627980922099,-0.302994827028286,0.748319048948511,0.885538359713869,0.881564095349588,"4915",1
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","1/68","38/1876",0.0263157894736842,0.726006191950464,-0.330838217660307,0.757625359264716,0.885538359713869,0.881564095349588,"2891",1
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","1/68","40/1876",0.025,0.689705882352941,-0.384612220441611,0.775232448690866,0.885538359713869,0.881564095349588,"107",1
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","1/68","40/1876",0.025,0.689705882352941,-0.384612220441611,0.775232448690866,0.885538359713869,0.881564095349588,"107",1
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","1/68","40/1876",0.025,0.689705882352941,-0.384612220441611,0.775232448690866,0.885538359713869,0.881564095349588,"4312",1
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","1/68","41/1876",0.024390243902439,0.672883787661406,-0.410612193774714,0.783557172813426,0.885538359713869,0.881564095349588,"4312",1
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","1/68","42/1876",0.0238095238095238,0.656862745098039,-0.436062491076221,0.791577942431239,0.885538359713869,0.881564095349588,"1524",1
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","1/68","42/1876",0.0238095238095238,0.656862745098039,-0.436062491076221,0.791577942431239,0.885538359713869,0.881564095349588,"658",1
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","1/68","42/1876",0.0238095238095238,0.656862745098039,-0.436062491076221,0.791577942431239,0.885538359713869,0.881564095349588,"107",1
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","1/68","43/1876",0.0232558139534884,0.641586867305062,-0.460991363355613,0.799305695928882,0.885538359713869,0.881564095349588,"107",1
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","1/68","43/1876",0.0232558139534884,0.641586867305062,-0.460991363355613,0.799305695928882,0.885538359713869,0.881564095349588,"4312",1
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","2/68","81/1876",0.0246913580246914,0.681190994916485,-0.568717696629918,0.803162698345137,0.885538359713869,0.881564095349588,"7802/2891",2
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","1/68","48/1876",0.0208333333333333,0.574754901960784,-0.578665670304125,0.833905658961042,0.911642627169275,0.907551207789894,"107",1
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","1/68","50/1876",0.02,0.551764705882353,-0.622868753513047,0.846036206009647,0.914784574261056,0.910679053935936,"107",1
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","1/68","52/1876",0.0192307692307692,0.530542986425339,-0.665642381669421,0.857292895419236,0.914784574261056,0.910679053935936,"107",1
"Cellular Processes","Cell motility","hsa04814","Motor proteins","1/68","55/1876",0.0181818181818182,0.501604278074866,-0.727371963149481,0.872674045415689,0.914784574261056,0.910679053935936,"7802",1
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","1/68","55/1876",0.0181818181818182,0.501604278074866,-0.727371963149481,0.872674045415689,0.914784574261056,0.910679053935936,"2099",1
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","1/68","56/1876",0.0178571428571429,0.492647058823529,-0.747350589104791,0.877428666454532,0.914784574261056,0.910679053935936,"107",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","2/68","99/1876",0.0202020202020202,0.557338086749852,-0.877408665897099,0.884591858671173,0.914784574261056,0.910679053935936,"5803/4916",2
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","1/68","58/1876",0.0172413793103448,0.475659229208925,-0.786477974854364,0.886419161105675,0.914784574261056,0.910679053935936,"2264",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","1/68","60/1876",0.0166666666666667,0.459803921568627,-0.824565214511563,0.894759204068347,0.915265718348598,0.911158038666087,"1524",1
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","1/68","64/1876",0.015625,0.431066176470588,-0.897901140707883,0.909670300067469,0.915265718348598,0.911158038666087,"566",1
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","1/68","65/1876",0.0153846153846154,0.424434389140271,-0.915689364734693,0.913060156356328,0.915265718348598,0.911158038666087,"1297",1
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","2/68","109/1876",0.018348623853211,0.506206152185645,-1.02990348633019,0.915265718348598,0.915265718348598,0.911158038666087,"1297/9499",2
